id,news_url,title,creation_date,country,article_text
politifact15014,speedtalk.com/forum/viewtopic.php?t=51650,BREAKING: First NFL Team Declares Bankruptcy Over Kneeling Thugs,991641759.0,US,"
Information
The requested topic does not exist.

"
politifact14745,www.nscdscamps.org/blog/category/parenting/467344/update-second-roy-moore-accuser-works-for-michelle-obama-right-now-departed,UPDATE: Second Roy Moore Accuser Works For Michelle Obama Right NOW -,1008887602.0,US,"Liberals sure are afraid of Roy Moore. Not only did they push a woman in front of the cameras to cry and lie about some stuff that allegedly happened 35 years ago she’s just now remembering to mention (we refuse to repeat the salacious allegations because they are 100% verifiable fake news) but when the fake 14-year-old didn’t work for them, the Democrat Party did something even worse: they doubled down on the story, introduced a new actress, and had her tell an even more horrible lie.

Fiona Dourif says she was 11 years old when Moore “groped her in the alley behind the” church they both attended in 1957. “It was the most horrifying moment of my life,” she told MSNBC’s Rachel Maddow on Friday night. She then described the series of events that allegedly happened, including the obviously false allegation that he baited her into the alley with candy. “Roy Moore definitely did all of those things and more,” she said looking into the camera, dry-eyed.

Maddow then interviewed Dourif’s parents, who said that they knew of the alleged abuse but didn’t say anything until he was running for Senator because they “feared for their lives.” Of course, if that was the case they would not have waited until he had more political power and wealth than he did when this allegedly happened.

One piece of information Dourif failed to mention is that she is currently employed as a housekeeper for Michelle Obama at the D.C. mansion “she” and her “husband” Barack share. This information was uncovered by Gateway Pundit’s Charles C. Johnson, who notes in his report that “Dourif is paid extremely well according to public documents, which report a $250,783.33 annual salary for Dourif.”

“Why would Barack and Michelle Obama’s housekeeper suddenly remember that she was molested by someone who is running for public office – someone of the opposing party,” Johnson writes. “This stinks more than Malia Obama’s dorm room after one of her reefer parties.”

What exactly is going on? Ever since it her employer was revealed, Dourif has gone dark, removing all of her social media presences and refusing to respond to interview requests from any source.
"
politifact14355,https://howafrica.com/oscar-pistorius-attempts-commit-suicide/,Oscar Pistorius Attempts To Commit Suicide,1415395187.0,GDPR Masked,"  The former Paralympic athlete reportedly tried to commit suicide.Convicted murderer Oscar Pistorius was, according to reports, rushed to a local state hospital in the early hours of Saturday after he allegedly attempted on his life.Although information is still sketchy, a social media report claimed that the former Paralympic athlete had injured his wrists in his prison cell.He was rushed to a nearby hospital.According to City Press, correctional services said Pistorius claimed he had injured himself after falling out of bed.“An inmate situated close to the hospital section told City Press that Pistorius had injured himself intentionally,” the news report stated.The report added that sharp blades were subsequently found in Pistorius’ cell during a search on Saturday afternoon.The reports could not yet be confirmed.Mashego wrote that he had also established from warders that Pistorius had been planning to harm the Kgosi Mampuru II prison’s health manager and a nurse, as they had testified against him, describing him as violent. A raid of his cell weeks ago allegedly found “toxic pills” inside it, though these are likely to be prescription drugs and anti-depressants, which might also be used in a suicide attempt.The Pistorius family told the Sunday paper that they were not aware of any investigation into Pistorius’ alleged plot against the prison staff. They dismissed it as yet another sensationalist story like many others.Source: mzansilive.co.za"
politifact15371,http://washingtonsources.org/trump-votes-for-death-penalty-for-being-gay-5/,Trump Votes For Death Penalty For Being Gay,1521785534.0,US,"
To provide you with the best possible experience on our website, we may use cookies, as described here.By clicking accept, closing this banner, or continuing to browse our websites, you consent to the use of such cookies.


"
politifact13919,http://blogs.trendolizer.com/2015/01/new-york-man-wanted-for-infecting-240-men-and-women-with-hiv.html,New York Man Wanted For Infecting 240 Men And Women With HIV!!!,1336995590.0,REDACTED FOR PRIVACY,"
                    Trendolizer™ (patent pending) automatically scans the internet for trending content.  The website you are looking at has no human editors at all: links to trending stories are automatically posted from a selection of the data Trendolizer™ picked up.  If you are interested in using the Trendolizer™ engine, dashboard or API for your own projects, more information is available at get.trendolizer.com. Trendolizer™ is owned by Lead Stories LLC.
                    

                       This site uses cookies to track user behaviour on this site, without linking to personally identifiable data.  Advertisers may also use cookies, but the scope and nature of this use is beyond our control.
                    
"
politifact13775,http://beforeitsnews.com/opinion-conservative/2016/05/target-to-discontinue-sale-of-holy-bible-3139296.html,Target to Discontinue Sale of Holy Bible,1189850425.0,US,"

BeforeItsNews AnnouncementsStep 1:  Get the Telegram App and Get Our Stories Direct To Your Phone or Computer Without Censorship!Step 2: Join the BeforeitsNews Telegram Channel Using This Link!Put HEAT on ALL Republicans and say NO to Red Flag laws and Assault Weapons ban! 





Story Views



Now:



Last Hour:



Last 24 Hours:



Total:





Target to Discontinue Sale of Holy Bible


            Wednesday, May 18, 2016 5:57        





            % of readers think this story is Fact. Add your two cents.

            













Target CEO Brian Cornell announced today the retail giant will be discontinuing sales of the Holy Bible. The company has come under fire recently from religious groups for its new transgender bathroom policy. The King James Bible has been available for purchase at Target stores ever since the company was founded as Goodfellow Dry Goods back in 1902.
Speaking with CNBC, Cornell cited recent protests from what he calls “religious extremists” as the reason to pull the bible from its shelves. “Target will no longer cater to religious extremists,” said Cornell. “If that means removing the bible from our shelves, then so be it.” Cornell said the big box chain is “sticking to its guns” regarding their bathroom policy, and will be phasing out anything having to do with religion. “We believe that everyone, every team member, every guest, and every community, deserves to be treated equally, regardless of their religious beliefs.”
More…
~~~~~~~~~~~~~~~~~~~~~~~~
This is the video referenced above:
VIDEO 





Source:  http://ncrenegade.com/editorial/target-to-discontinue-sale-of-holy-bible/ 







Support BeforeitsNews by trying our
natural health products! Join our affiliate
program
Order by Phone at 888-809-8385 or online at www.mitocopper.com
Get our Free Ebook, ""Suppressed
Health Secrets""  with  Natural Cures THEY don't want you to know!
APeX - Far
superior to colloidal silver!  Destroys Viruses, Bacteria,
Pathogens with Oxygen plus Silver!Supreme Fulvic
- Nature's most important supplement! Vivid Dreams again!
Ultimate Curcumin
- Natural pain relief, reduce inflammation and so much
more.
MitoCopper -
Bioavailable Copper
destroys
pathogens and gives you more
energy. (See Blood Video)
Oxy Powder - Natural Colon Cleanser!  Cleans
out
toxic buildup with oxygen!  Organic Hemp Extract (CBD) - Full Spectrum high CBD (3300mg) hemp extract eases stiff joints, relieves stress and more!
Nascent Iodine - Promotes detoxification,
mental focus and thyroid health.
Smart Meter Cover -  Reduces Smart Meter
radiation by 96%!  (See Video)FINAL WARNING!   Diseases are EXPLODING!  Watch this Video about APeX and You'll THROW AWAY Your Colloidal Silver!   APeX destroys Viruses, Bacteria and other Pathogens with the power of Oxygen PLUS Silver!  Nobody else has a product like THIS!   See why the inventor hasn't been sick in 16 years and why you'll never hear about it on the FAKE NEWS!  Get some now and tell your friends about it too so we can reach more people!  
APeX Interview - Superior to Colloidal Silver from Lee Canady on Vimeo.Learn about APeX Here and Get the 50 Page Report in PDF format.   Call us at 888-809-8385 to order by phone. 














"
politifact14678,http://yournewswire.com/youngest-leader-george-soros/,Youngest World Leader Bans George Soros’s Foundations From Austria,1407205828.0,UK,"
410 Gone
openresty

"
politifact14890,me.me/i/actress-sandra-bullock-to-hillary-clinton-if-you-dont-like-19509139,Actress Sandra Bullock to Hillary Clinton if You Don't Like Our President You Can Leave and Never Come Back Again You Are One Jealous Woman Who Ls Nothing to Compare With Trump I Hope He Will Arrest Y,1248456000.0,,"
Hell Yes I Support Her - Do You?
#Hillary4Prison #Trump

"
politifact14356,http://therightists.com/gretchen-carlson-the-2nd-amendment-was-written-before-guns-were-invented/,Gretchen Carlson: “The 2nd Amendment Was Written Before Guns Were Invented”,1460309596.0,IL,
politifact14776,http://yournewswire.com/pope-francis-jesus-metaphorical/,"Pope Francis At Mass: ‘Jesus Is Metaphorical, Not Literal’",1407205828.0,UK,"
410 Gone
openresty

"
